"","Kingdom","Phylum","Class","Order","Family","Genus","Species","combined_traits","Unique_Node_Name"
"Unclass_f__GW2011_GWC1_47_15","k__Archaea","p__Nanoarchaeota","c__Nanoarchaeia","o__Woesearchaeales","f__GW2011_GWC1_47_15","Unclass_f__GW2011_GWC1_47_15",NA,NA,"Unclass_f__GW2011_GWC1_47_15"
"g__Achromobacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Alcaligenaceae","g__Achromobacter",NA,NA,"g__Achromobacter"
"g__Fonticella","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Caloramatoraceae","g__Fonticella",NA,NA,"g__Fonticella"
"g__Prevotellaceae Ga6A1 group","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae Ga6A1 group",NA,NA,"g__Prevotellaceae Ga6A1 group"
"g__Pediococcus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Pediococcus",NA,NA,"g__Pediococcus"
"g__Jeotgalibacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__Planococcaceae","g__Jeotgalibacillus",NA,NA,"g__Jeotgalibacillus"
"g__Amaricoccus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Amaricoccus",NA,NA,"g__Amaricoccus"
"g__Chlamydia","k__Bacteria","p__Verrucomicrobiota","c__Chlamydiae","o__Chlamydiales","f__Chlamydiaceae","g__Chlamydia",NA,NA,"g__Chlamydia"
"Unclass_o__mle1-8","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__mle1-8","f__","Unclass_o__mle1-8",NA,NA,"Unclass_o__mle1-8"
"Unclass_k__Eukaryota","k__Eukaryota","p__","c__","o__","f__","Unclass_k__Eukaryota",NA,NA,"Unclass_k__Eukaryota"
"g__SH3-11","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Pedosphaerales","f__Pedosphaeraceae","g__SH3-11",NA,NA,"g__SH3-11"
"g__Lacibacterium","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Elsterales","f__Elsteraceae","g__Lacibacterium",NA,NA,"g__Lacibacterium"
"Unclass_o__Absconditabacteriales (SR1)","k__Bacteria","p__Patescibacteria","c__Gracilibacteria","o__Absconditabacteriales (SR1)","f__","Unclass_o__Absconditabacteriales (SR1)",NA,NA,"Unclass_o__Absconditabacteriales (SR1)"
"g__Lachnospiraceae NK4A136 group","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Lachnospiraceae NK4A136 group",NA,NA,"g__Lachnospiraceae NK4A136 group"
"g__Cereibacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Cereibacter",NA,NA,"g__Cereibacter"
"g__Herminiimonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Herminiimonas",NA,NA,"g__Herminiimonas"
"g__Micrococcus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Micrococcus",NA,NA,"g__Micrococcus"
"Unclass_f__Thermomicrobiaceae","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Thermomicrobiales","f__Thermomicrobiaceae","Unclass_f__Thermomicrobiaceae",NA,NA,"Unclass_f__Thermomicrobiaceae"
"g__Rickettsia","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Rickettsiaceae","g__Rickettsia",NA,NA,"g__Rickettsia"
"Unclass_o__Group 1.1c","k__Archaea","p__Crenarchaeota","c__Nitrososphaeria","o__Group 1.1c","f__","Unclass_o__Group 1.1c",NA,NA,"Unclass_o__Group 1.1c"
"g__Brochothrix","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Listeriaceae","g__Brochothrix",NA,NA,"g__Brochothrix"
"g__Pseudochrobactrum","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Pseudochrobactrum",NA,NA,"g__Pseudochrobactrum"
"g__Cellulosimicrobium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Promicromonosporaceae","g__Cellulosimicrobium",NA,NA,"g__Cellulosimicrobium"
"g__Salinispora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micromonosporales","f__Micromonosporaceae","g__Salinispora",NA,NA,"g__Salinispora"
"g__Intestinimonas","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Oscillospiraceae","g__Intestinimonas",NA,NA,"g__Intestinimonas"
"g__Melghirimyces","k__Bacteria","p__Firmicutes","c__Bacilli","o__Thermoactinomycetales","f__Thermoactinomycetaceae","g__Melghirimyces",NA,NA,"g__Melghirimyces"
"g__Candidatus Amoebophilus","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Amoebophilaceae","g__Candidatus Amoebophilus",NA,NA,"g__Candidatus Amoebophilus"
"Unclass_f__Holophagaceae","k__Bacteria","p__Acidobacteriota","c__Holophagae","o__Holophagales","f__Holophagaceae","Unclass_f__Holophagaceae",NA,NA,"Unclass_f__Holophagaceae"
"Unclass_o__CHAB-XI-27","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__CHAB-XI-27","f__","Unclass_o__CHAB-XI-27",NA,NA,"Unclass_o__CHAB-XI-27"
"Unclass_o__SM1A07","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__SM1A07","f__","Unclass_o__SM1A07",NA,NA,"Unclass_o__SM1A07"
"Unclass_p__Margulisbacteria","k__Bacteria","p__Margulisbacteria","c__","o__","f__","Unclass_p__Margulisbacteria",NA,NA,"Unclass_p__Margulisbacteria"
"Unclass_f__Lachnospiraceae","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","Unclass_f__Lachnospiraceae",NA,NA,"Unclass_f__Lachnospiraceae"
"Unclass_f__Peptococcaceae","k__Bacteria","p__Firmicutes","c__Clostridia","o__Peptococcales","f__Peptococcaceae","Unclass_f__Peptococcaceae",NA,NA,"Unclass_f__Peptococcaceae"
"Unclass_o__CCM11a","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__CCM11a","f__","Unclass_o__CCM11a",NA,NA,"Unclass_o__CCM11a"
"Unclass_o__Candidatus Peregrinibacteria","k__Bacteria","p__Patescibacteria","c__Gracilibacteria","o__Candidatus Peregrinibacteria","f__","Unclass_o__Candidatus Peregrinibacteria",NA,NA,"Unclass_o__Candidatus Peregrinibacteria"
"g__Clostridium sensu stricto 8","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","g__Clostridium sensu stricto 8",NA,NA,"g__Clostridium sensu stricto 8"
"g__Lactococcus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Streptococcaceae","g__Lactococcus",NA,NA,"g__Lactococcus"
"g__Arboricoccus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Tistrellales","f__Geminicoccaceae","g__Arboricoccus",NA,NA,"g__Arboricoccus"
"g__Anaerostipes","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Anaerostipes",NA,NA,"g__Anaerostipes"
"g__NS10 marine group","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Cryomorphaceae","g__NS10 marine group",NA,NA,"g__NS10 marine group"
"g__Phycisphaera","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__Phycisphaerales","f__Phycisphaeraceae","g__Phycisphaera",NA,NA,"g__Phycisphaera"
"g__Prevotellaceae UCG-003","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae UCG-003",NA,NA,"g__Prevotellaceae UCG-003"
"g__Luteipulveratus","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Dermacoccaceae","g__Luteipulveratus",NA,NA,"g__Luteipulveratus"
"g__Acrocarpospora","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Streptosporangiales","f__Streptosporangiaceae","g__Acrocarpospora",NA,NA,"g__Acrocarpospora"
"g__Corynebacterium","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Corynebacteriales","f__Corynebacteriaceae","g__Corynebacterium",NA,NA,"g__Corynebacterium"
"Unclass_f__Glycomycetaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Glycomycetales","f__Glycomycetaceae","Unclass_f__Glycomycetaceae",NA,NA,"Unclass_f__Glycomycetaceae"
"g__Paucimonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Oxalobacteraceae","g__Paucimonas",NA,NA,"g__Paucimonas"
"g__Afifella","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhodobiaceae","g__Afifella",NA,NA,"g__Afifella"
"Unclass_f__Spirosomaceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Spirosomaceae","Unclass_f__Spirosomaceae",NA,NA,"Unclass_f__Spirosomaceae"
"Unclass_f__Puniceicoccaceae","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Opitutales","f__Puniceicoccaceae","Unclass_f__Puniceicoccaceae",NA,NA,"Unclass_f__Puniceicoccaceae"
"g__Nibribacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Hymenobacteraceae","g__Nibribacter",NA,NA,"g__Nibribacter"
"g__Hydrocarboniphaga","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Salinisphaerales","f__Solimonadaceae","g__Hydrocarboniphaga",NA,NA,"g__Hydrocarboniphaga"
"Unclass_o__Candidatus Peribacteria","k__Bacteria","p__Patescibacteria","c__Gracilibacteria","o__Candidatus Peribacteria","f__","Unclass_o__Candidatus Peribacteria",NA,NA,"Unclass_o__Candidatus Peribacteria"
"Unclass_f__Chroococcidiopsaceae","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Chroococcidiopsaceae","Unclass_f__Chroococcidiopsaceae",NA,NA,"Unclass_f__Chroococcidiopsaceae"
"Unclass_o__Bacillales","k__Bacteria","p__Firmicutes","c__Bacilli","o__Bacillales","f__","Unclass_o__Bacillales",NA,NA,"Unclass_o__Bacillales"
"g__Aliihoeflea","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Rhizobiaceae","g__Aliihoeflea",NA,NA,"g__Aliihoeflea"
"g__Thermobaculum","k__Bacteria","p__Chloroflexi","c__Chloroflexia","o__Thermobaculales","f__Thermobaculaceae","g__Thermobaculum",NA,NA,"g__Thermobaculum"
"Unclass_c__Dehalococcoidia","k__Bacteria","p__Chloroflexi","c__Dehalococcoidia","o__","f__","Unclass_c__Dehalococcoidia",NA,NA,"Unclass_c__Dehalococcoidia"
"g__Rudanella","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Spirosomaceae","g__Rudanella",NA,NA,"g__Rudanella"
"Unclass_p__Zixibacteria","k__Bacteria","p__Zixibacteria","c__","o__","f__","Unclass_p__Zixibacteria",NA,NA,"Unclass_p__Zixibacteria"
"Unclass_f__Dermatophilaceae","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Dermatophilaceae","Unclass_f__Dermatophilaceae",NA,NA,"Unclass_f__Dermatophilaceae"
"g__Lactobacillus","k__Bacteria","p__Firmicutes","c__Bacilli","o__Lactobacillales","f__Lactobacillaceae","g__Lactobacillus",NA,NA,"g__Lactobacillus"
"g__Lentimicrobium","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__Lentimicrobiaceae","g__Lentimicrobium",NA,NA,"g__Lentimicrobium"
"g__Euzebya","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Euzebyales","f__Euzebyaceae","g__Euzebya",NA,NA,"g__Euzebya"
"Unclass_o__Salinisphaerales","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Salinisphaerales","f__","Unclass_o__Salinisphaerales",NA,NA,"Unclass_o__Salinisphaerales"
"g__Methylocystis","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Methylocystis",NA,NA,"g__Methylocystis"
"g__SZB85","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Nitrosococcales","f__Nitrosococcaceae","g__SZB85",NA,NA,"g__SZB85"
"g__Curvibacter","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Burkholderiales","f__Comamonadaceae","g__Curvibacter",NA,NA,"g__Curvibacter"
"g__Phormidium SAG 37.90","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Leptolyngbyales","f__Leptolyngbyaceae","g__Phormidium SAG 37.90",NA,NA,"g__Phormidium SAG 37.90"
"g__Prevotellaceae UCG-001","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Prevotellaceae","g__Prevotellaceae UCG-001",NA,NA,"g__Prevotellaceae UCG-001"
"g__Wolbachia","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Anaplasmataceae","g__Wolbachia",NA,NA,"g__Wolbachia"
"Unclass_o__Candidatus Campbellbacteria","k__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus Campbellbacteria","f__","Unclass_o__Candidatus Campbellbacteria",NA,NA,"Unclass_o__Candidatus Campbellbacteria"
"g__Stigmatella","k__Bacteria","p__Myxococcota","c__Myxococcia","o__Myxococcales","f__Myxococcaceae","g__Stigmatella",NA,NA,"g__Stigmatella"
"Unclass_f__Rubinisphaeraceae","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Planctomycetales","f__Rubinisphaeraceae","Unclass_f__Rubinisphaeraceae",NA,NA,"Unclass_f__Rubinisphaeraceae"
"Unclass_o__Candidatus Abawacabacteria","k__Bacteria","p__Patescibacteria","c__Gracilibacteria","o__Candidatus Abawacabacteria","f__","Unclass_o__Candidatus Abawacabacteria",NA,NA,"Unclass_o__Candidatus Abawacabacteria"
"g__Candidatus Endoecteinascidia","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Piscirickettsiales","f__Piscirickettsiaceae","g__Candidatus Endoecteinascidia",NA,NA,"g__Candidatus Endoecteinascidia"
"Unclass_o__Candidatus Jorgensenbacteria","k__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus Jorgensenbacteria","f__","Unclass_o__Candidatus Jorgensenbacteria",NA,NA,"Unclass_o__Candidatus Jorgensenbacteria"
"Unclass_o__Ignavibacteriales","k__Bacteria","p__Bacteroidota","c__Ignavibacteria","o__Ignavibacteriales","f__","Unclass_o__Ignavibacteriales",NA,NA,"Unclass_o__Ignavibacteriales"
"Unclass_o__Enterobacterales","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Enterobacterales","f__","Unclass_o__Enterobacterales",NA,NA,"Unclass_o__Enterobacterales"
"g__Magnetospirillum","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodospirillales","f__Magnetospirillaceae","g__Magnetospirillum",NA,NA,"g__Magnetospirillum"
"g__Fontimonas","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Salinisphaerales","f__Solimonadaceae","g__Fontimonas",NA,NA,"g__Fontimonas"
"Unclass_f__S15-21","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Sphingobacteriales","f__S15-21","Unclass_f__S15-21",NA,NA,"Unclass_f__S15-21"
"g__Huanghella","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Spirosomaceae","g__Huanghella",NA,NA,"g__Huanghella"
"g__Candidatus Entotheonella","k__Bacteria","p__Entotheonellaeota","c__Entotheonellia","o__Entotheonellales","f__Entotheonellaceae","g__Candidatus Entotheonella",NA,NA,"g__Candidatus Entotheonella"
"Unclass_f__Babeliaceae","k__Bacteria","p__Dependentiae","c__Babeliae","o__Babeliales","f__Babeliaceae","Unclass_f__Babeliaceae",NA,NA,"Unclass_f__Babeliaceae"
"Unclass_c__Phycisphaerae","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__","f__","Unclass_c__Phycisphaerae",NA,NA,"Unclass_c__Phycisphaerae"
"g__Rothia","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Rothia",NA,NA,"g__Rothia"
"Unclass_o__Clostridia UCG-014","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridia UCG-014","f__","Unclass_o__Clostridia UCG-014",NA,NA,"Unclass_o__Clostridia UCG-014"
"Unclass_f__SB-5","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__SB-5","Unclass_f__SB-5",NA,NA,"Unclass_f__SB-5"
"Unclass_c__SHA-26","k__Bacteria","p__Chloroflexi","c__SHA-26","o__","f__","Unclass_c__SHA-26",NA,NA,"Unclass_c__SHA-26"
"Unclass_o__Desulfovibrionales","k__Bacteria","p__Desulfobacterota","c__Desulfovibrionia","o__Desulfovibrionales","f__","Unclass_o__Desulfovibrionales",NA,NA,"Unclass_o__Desulfovibrionales"
"Unclass_f__AB1","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__AB1","Unclass_f__AB1",NA,NA,"Unclass_f__AB1"
"Unclass_f__Amoebophilaceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Amoebophilaceae","Unclass_f__Amoebophilaceae",NA,NA,"Unclass_f__Amoebophilaceae"
"Unclass_f__Latescibacteraceae","k__Bacteria","p__Latescibacterota","c__Latescibacteria","o__Latescibacterales","f__Latescibacteraceae","Unclass_f__Latescibacteraceae",NA,NA,"Unclass_f__Latescibacteraceae"
"g__Planctopirus","k__Bacteria","p__Planctomycetota","c__Planctomycetes","o__Planctomycetales","f__Schlesneriaceae","g__Planctopirus",NA,NA,"g__Planctopirus"
"g__Anabaena PCC-7122","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Nostocaceae","g__Anabaena PCC-7122",NA,NA,"g__Anabaena PCC-7122"
"g__Azospirillum","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Azospirillales","f__Azospirillaceae","g__Azospirillum",NA,NA,"g__Azospirillum"
"g__Aureispira","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Saprospiraceae","g__Aureispira",NA,NA,"g__Aureispira"
"Unclass_f__UBA12411","k__Bacteria","p__Dependentiae","c__Babeliae","o__Babeliales","f__UBA12411","Unclass_f__UBA12411",NA,NA,"Unclass_f__UBA12411"
"Unclass_f__Blattabacteriaceae","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Flavobacteriales","f__Blattabacteriaceae","Unclass_f__Blattabacteriaceae",NA,NA,"Unclass_f__Blattabacteriaceae"
"g__Wilmottia Ant-Ph58","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Coleofasciculaceae","g__Wilmottia Ant-Ph58",NA,NA,"g__Wilmottia Ant-Ph58"
"g__Leptolyngbya EcFYyyy-00","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__","f__","g__Leptolyngbya EcFYyyy-00",NA,NA,"g__Leptolyngbya EcFYyyy-00"
"Unclass_f__Clostridiaceae","k__Bacteria","p__Firmicutes","c__Clostridia","o__Clostridiales","f__Clostridiaceae","Unclass_f__Clostridiaceae",NA,NA,"Unclass_f__Clostridiaceae"
"g__Parasediminibacterium","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Chitinophagales","f__Chitinophagaceae","g__Parasediminibacterium",NA,NA,"g__Parasediminibacterium"
"Unclass_o__eub62A3","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__eub62A3","f__","Unclass_o__eub62A3",NA,NA,"Unclass_o__eub62A3"
"Unclass_f__Candidatus Jidaibacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rickettsiales","f__Candidatus Jidaibacter","Unclass_f__Candidatus Jidaibacter",NA,NA,"Unclass_f__Candidatus Jidaibacter"
"g__Tolypothrix","k__Bacteria","p__Cyanobacteria","c__Cyanobacteriia","o__Cyanobacteriales","f__Nostocaceae","g__Tolypothrix",NA,NA,"g__Tolypothrix"
"g__Methylopila","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Methylopilaceae","g__Methylopila",NA,NA,"g__Methylopila"
"Unclass_f__Leptospiraceae","k__Bacteria","p__Spirochaetota","c__Leptospirae","o__Leptospirales","f__Leptospiraceae","Unclass_f__Leptospiraceae",NA,NA,"Unclass_f__Leptospiraceae"
"Unclass_f__Immundisolibacteraceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Immundisolibacterales","f__Immundisolibacteraceae","Unclass_f__Immundisolibacteraceae",NA,NA,"Unclass_f__Immundisolibacteraceae"
"Unclass_o__Candidatus Brennerbacteria","k__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus Brennerbacteria","f__","Unclass_o__Candidatus Brennerbacteria",NA,NA,"Unclass_o__Candidatus Brennerbacteria"
"Unclass_o__Pla1 lineage","k__Bacteria","p__Planctomycetota","c__Phycisphaerae","o__Pla1 lineage","f__","Unclass_o__Pla1 lineage",NA,NA,"Unclass_o__Pla1 lineage"
"g__Sinomonas","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Micrococcaceae","g__Sinomonas",NA,NA,"g__Sinomonas"
"Unclass_o__Candidatus Lloydbacteria","k__Bacteria","p__Patescibacteria","c__Parcubacteria","o__Candidatus Lloydbacteria","f__","Unclass_o__Candidatus Lloydbacteria",NA,NA,"Unclass_o__Candidatus Lloydbacteria"
"Unclass_f__Legionellaceae","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Legionellales","f__Legionellaceae","Unclass_f__Legionellaceae",NA,NA,"Unclass_f__Legionellaceae"
"g__Chelatococcus","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Beijerinckiaceae","g__Chelatococcus",NA,NA,"g__Chelatococcus"
"Unclass_o__AT-s3-44","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__AT-s3-44","f__","Unclass_o__AT-s3-44",NA,NA,"Unclass_o__AT-s3-44"
"g__Agaricicola","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhizobiales","f__Stappiaceae","g__Agaricicola",NA,NA,"g__Agaricicola"
"Unclass_c__Holophagae","k__Bacteria","p__Acidobacteriota","c__Holophagae","o__","f__","Unclass_c__Holophagae",NA,NA,"Unclass_c__Holophagae"
"g__Thioclava","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Rhodobacterales","f__Rhodobacteraceae","g__Thioclava",NA,NA,"g__Thioclava"
"Unclass_f__Fodinicurvataceae","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Kiloniellales","f__Fodinicurvataceae","Unclass_f__Fodinicurvataceae",NA,NA,"Unclass_f__Fodinicurvataceae"
"g__Geothrix","k__Bacteria","p__Acidobacteriota","c__Holophagae","o__Holophagales","f__Holophagaceae","g__Geothrix",NA,NA,"g__Geothrix"
"g__Alkanindiges","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Pseudomonadales","f__Moraxellaceae","g__Alkanindiges",NA,NA,"g__Alkanindiges"
"g__Candidatus Cardinium","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Amoebophilaceae","g__Candidatus Cardinium",NA,NA,"g__Candidatus Cardinium"
"Unclass_p__TX1A-33","k__Bacteria","p__TX1A-33","c__","o__","f__","Unclass_p__TX1A-33",NA,NA,"Unclass_p__TX1A-33"
"Unclass_o__Verrucomicrobiales","k__Bacteria","p__Verrucomicrobiota","c__Verrucomicrobiae","o__Verrucomicrobiales","f__","Unclass_o__Verrucomicrobiales",NA,NA,"Unclass_o__Verrucomicrobiales"
"Unclass_f__Bacteriovoracaceae","k__Bacteria","p__Bdellovibrionota","c__Bdellovibrionia","o__Bacteriovoracales","f__Bacteriovoracaceae","Unclass_f__Bacteriovoracaceae",NA,NA,"Unclass_f__Bacteriovoracaceae"
"g__Pygmaiobacter","k__Bacteria","p__Firmicutes","c__Clostridia","o__Oscillospirales","f__Ruminococcaceae","g__Pygmaiobacter",NA,NA,"g__Pygmaiobacter"
"g__Paludibacter","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Bacteroidales","f__Paludibacteraceae","g__Paludibacter",NA,NA,"g__Paludibacter"
"g__Roseburia","k__Bacteria","p__Firmicutes","c__Clostridia","o__Lachnospirales","f__Lachnospiraceae","g__Roseburia",NA,NA,"g__Roseburia"
"g__Desulfosporosinus","k__Bacteria","p__Firmicutes","c__Desulfitobacteriia","o__Desulfitobacteriales","f__Desulfitobacteriaceae","g__Desulfosporosinus",NA,NA,"g__Desulfosporosinus"
"g__Bounagaea","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Pseudonocardiales","f__Pseudonocardiaceae","g__Bounagaea",NA,NA,"g__Bounagaea"
"g__Clavibacter","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Micrococcales","f__Microbacteriaceae","g__Clavibacter",NA,NA,"g__Clavibacter"
"g__Thermasporomyces","k__Bacteria","p__Actinobacteriota","c__Actinobacteria","o__Propionibacteriales","f__Nocardioidaceae","g__Thermasporomyces",NA,NA,"g__Thermasporomyces"
"g__Dyella","k__Bacteria","p__Proteobacteria","c__Gammaproteobacteria","o__Xanthomonadales","f__Rhodanobacteraceae","g__Dyella",NA,NA,"g__Dyella"
"Unclass_o__Caenarcaniphilales","k__Bacteria","p__Cyanobacteria","c__Vampirivibrionia","o__Caenarcaniphilales","f__","Unclass_o__Caenarcaniphilales",NA,NA,"Unclass_o__Caenarcaniphilales"
"g__Desertibacter","k__Bacteria","p__Proteobacteria","c__Alphaproteobacteria","o__Azospirillales","f__Azospirillaceae","g__Desertibacter",NA,NA,"g__Desertibacter"
"g__Belliella","k__Bacteria","p__Bacteroidota","c__Bacteroidia","o__Cytophagales","f__Cyclobacteriaceae","g__Belliella",NA,NA,"g__Belliella"
